No,周目,イベント名,形式,ユニット,タイプ,書き下ろし楽曲,開始日,終了日,日数,参加人数
1,1,雨上がりの一番星,通常,1_L/n,ミステリアス,ステラ,2020-10-09 15:00:00,2020-10-18 21:00:00,9,1374000.0
2,1,囚われのマリオネット,通常,5_25,クール,ジャックポットサッドガール,2020-10-20 15:00:00,2020-10-29 21:00:00,9,1219000.0
3,1,全力！ワンダーハロウィン！,通常,4_WxS,ハッピー,potatoになっていく,2020-10-31 15:00:00,2020-11-07 21:00:00,7,1052000.0
4,1,走れ！体育祭！～実行委員は大忙し～,通常,混合,ピュア,-,2020-11-09 15:00:00,2020-11-17 21:00:00,8,980000.0
5,1,ここからRE:START！,通常,2_MMJ,キュート,モア！ジャンプ！モア！,2020-11-19 15:00:00,2020-11-28 21:00:00,9,1080000.0
6,1,いつか、背中あわせのリリックを,通常,3_VBS,クール,Forward,2020-11-30 15:00:00,2020-12-08 21:00:00,8,943000.0
7,2,KAMIKOU FESTIVAL！,通常,混合,ミステリアス,-,2020-12-10 15:00:00,2020-12-18 21:00:00,8,940000.0
8,2,聖なる夜に、この歌声を,通常,4_WxS,キュート,ニジイロストーリーズ,2020-12-20 15:00:00,2020-12-29 21:00:00,9,1005000.0
9,2,セカイのハッピーニューイヤー！,通常,混合,ピュア,-,2020-12-31 15:00:00,2021-01-08 21:00:00,8,1121000.0
10,2,揺れるまま、でも君は前へ,通常,1_L/n,ハッピー,霽れを待つ,2021-01-10 15:00:00,2021-01-19 21:00:00,9,1002000.0
11,2,Color of Myself！,通常,2_MMJ,クール,Color of Drops,2021-01-21 15:00:00,2021-01-29 21:00:00,8,934000.0
12,2,Period of NOCTURNE,通常,3_VBS,ミステリアス,RAD DOGS,2021-01-31 15:00:00,2021-02-07 21:00:00,7,909000.0
13,2,響くトワイライトパレード,通常,混合,キュート,-,2021-02-09 15:00:00,2021-02-16 21:00:00,7,887000.0
14,2,満たされないペイルカラー,通常,5_25,ハッピー,限りなく灰色へ,2021-02-18 15:00:00,2021-02-26 21:00:00,8,944000.0
15,3,スマイルオブドリーマー,通常,4_WxS,ミステリアス,ワンスアポンアドリーム,2021-02-28 15:00:00,2021-03-08 21:00:00,8,985000.0
16,3,天馬さんちのひな祭り,通常,混合,ピュア,-,2021-03-10 15:00:00,2021-03-20 21:00:00,10,1101000.0
